name,link,number,ean,price,currency
"Xerox Phaser 6020V BI Drucker Farbe LED A4 USB 2.0, Wi-Fi(n) (6020V_BI)",http://www.future-x.de/xerox-phaser-6020v-bi-drucker-farbe-led-a4-usb-20-wi-fin-p-256011/?cPath=2_3848_5130_7829,991072917,0095205867947,172.49,€
"Xerox Phaser 6500N A4 Laserdrucker Farbe USB, Gigabit LAN, USB-Host (6500V_N)",http://www.future-x.de/xerox-phaser-6500n-a4-laserdrucker-farbe-usb-gigabit-lan-usb-host-p-85065/?cPath=2_3848_5130_7829,991028144,0095205849196,367.49,€
"Xerox Phaser 7100N Laserdrucker Farbe A3 USB, LAN (7100V_N)",http://www.future-x.de/xerox-phaser-7100n-laserdrucker-farbe-a3-usb-lan-p-87102/?cPath=2_3848_5130_7829,991029982,0095205965872,964.89,€
"Xerox Phaser 7800/DN Drucker Farbe Duplex A4 USB, Gigabit LAN (7800V_DN)",http://www.future-x.de/xerox-phaser-7800-dn-drucker-farbe-duplex-a4-usb-gigabit-lan-p-87114/?cPath=2_3848_5130_7829,991029993,0095205850420,4079.49,€
"Xerox Phaser 6500DN Laserdrucker Farbe A4 Duplex A4 USB, Gigabit LAN, USB-Host (6500V_DN)",http://www.future-x.de/xerox-phaser-6500dn-laserdrucker-farbe-a4-duplex-a4-usb-gigabit-lan-usb-host-p-87129/?cPath=2_3848_5130_7829,991030007,0095205849202,226.89,€
Xerox Phaser Farb Duplex Laser Drucker A4 35 Seiten/Min. s/w (6600V_DN),http://www.future-x.de/xerox-phaser-farb-duplex-laser-drucker-a4-35-seiten-min-s-w-p-87109/?cPath=2_3848_5130_7829,991029989,0095205964714,339.49,€
"Xerox Phaser 7500DN Drucker Farbe Duplex A3 LED USB, Gigabit LAN (7500V_DN)",http://www.future-x.de/xerox-phaser-7500dn-drucker-farbe-duplex-a3-led-usb-gigabit-lan-p-86989/?cPath=2_3848_5130_7829,991029877,0095205705973,1716.49,€
"Xerox Phaser 6600N Laserdrucker Farbe A4 USB, Gigabit LAN (6600V_N)",http://www.future-x.de/xerox-phaser-6600n-laserdrucker-farbe-a4-usb-gigabit-lan-p-87126/?cPath=2_3848_5130_7829,991030004,0095205964752,290.49,€
Xerox Phaser 7100V_DN A3 Duplex-Drucker Laser Farbe (7100V_DN?DE),http://www.future-x.de/xerox-phaser-7100v-dn-a3-duplex-drucker-laser-farbe-p-88932/?cPath=2_3848_5130_7829,991031575,,1275.89,€
"Xerox Phaser 3320V DNI Laserdrucker monochrom Duplex A4 USB, Gigabit LAN, Wi-Fi (3320V_DNI)",http://www.future-x.de/xerox-phaser-3320v-dni-laserdrucker-monochrom-duplex-a4-usb-gigabit-lan-wi-fi-p-87101/?cPath=2_3848_5130_7829,991029981,0095205861853,216.49,€
