name,link,number,ean,manufacturerNumber,price,currency
Xerox Magenta Original Toner 32000 Seiten (006R01527),http://www.future-x.de/xerox-magenta-original-toner-32000-seiten-p-307501/?cPath=2_3848_5130_5713_5714_17678,,0095205615272,006R01527,179.49,€
Xerox Gelb Original Toner 34000 Seiten (006R01526),http://www.future-x.de/xerox-gelb-original-toner-34000-seiten-p-307502/?cPath=2_3848_5130_5713_5714_17678,,0095205615265,006R01526,179.49,€
Xerox Gelb Toner Original 15000 Seiten (006R01510),http://www.future-x.de/xerox-gelb-toner-original-15000-seiten-p-307515/?cPath=2_3848_5130_5713_5714_17678,,0095205615104,006R01510,297.89,€
Xerox Magenta Original Toner 15000 Seiten (006R01511),http://www.future-x.de/xerox-magenta-original-toner-15000-seiten-p-307519/?cPath=2_3848_5130_5713_5714_17678,,0095205615111,006R01511,297.89,€
Xerox Magenta Original Toner 21000 Seiten (006R01644),http://www.future-x.de/xerox-magenta-original-toner-21000-seiten-p-307503/?cPath=2_3848_5130_5713_5714_17678,,0095205016444,006R01644,67.49,€
Xerox Magenta Original Toner 23000 Seiten (006R01632),http://www.future-x.de/xerox-magenta-original-toner-23000-seiten-p-307520/?cPath=2_3848_5130_5713_5714_17678,,0095205016321,006R01632,115.49,€
Xerox Gelb Original 15000 Seiten Toner (006R01156),http://www.future-x.de/xerox-gelb-original-15000-seiten-toner-p-307505/?cPath=2_3848_5130_5713_5714_17678,,0095205611564,006R01156,149.89,€
Xerox Gelb Original Toner 15000 Seiten (006R01125),http://www.future-x.de/xerox-gelb-original-toner-15000-seiten-p-307504/?cPath=2_3848_5130_5713_5714_17678,,0095205611250,006R01125,177.49,€
Xerox Gelb Original Toner 25000 Seiten (006R01633),http://www.future-x.de/xerox-gelb-original-toner-25000-seiten-p-307524/?cPath=2_3848_5130_5713_5714_17678,,0095205016338,006R01633,120.89,€
Xerox Cyan Original Toner 15000 Seiten (006R01512),http://www.future-x.de/xerox-cyan-original-toner-15000-seiten-p-307516/?cPath=2_3848_5130_5713_5714_17678,,0095205615128,006R01512,297.89,€
Xerox Cyan Original Toner 25000 Seiten (006R01631),http://www.future-x.de/xerox-cyan-original-toner-25000-seiten-p-307523/?cPath=2_3848_5130_5713_5714_17678,,0095205016314,006R01631,120.89,€
Xerox Schwarz Original Toner 81.000 Seiten (006R01237),http://www.future-x.de/xerox-schwarz-original-toner-81000-seiten-p-306751/?cPath=2_3848_5130_5713_5714_17677,,0095205612370,006R01237,114.49,€
Xerox Schwarz Original Toner (entspricht: Samsung MLT-D1052L/ELS) 2500 Seiten (006R03076),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-samsung-mlt-d1052l-els-2500-seiten-p-306566/?cPath=2_3848_5130_5713_5714_17677,,0095205989717,006R03076,37.89,€
Xerox Schwarz Original Toner (entspricht: Kyocera TK-715) 34.000 Seiten (006R03267),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-kyocera-tk-715-34000-seiten-p-306534/?cPath=2_3848_5130_5713_5714_17677,,0095205827927,006R03267,70.49,€
Xerox Schwarz Original Toner (entspricht: Lexmark X203A11G X203A21G) 2.500 Seiten (006R03313),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-lexmark-x203a11g-x203a21g-2500-seiten-p-306560/?cPath=2_3848_5130_5713_5714_17677,,0095205831832,006R03313,58.49,€
Xerox Schwarz Original Toner (entspricht: Lexmark X340H11G X340H21G) 6000 Seiten (006R03179),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-lexmark-x340h11g-x340h21g-6000-seiten-p-306570/?cPath=2_3848_5130_5713_5714_17677,,0095205864342,006R03179,81.49,€
Xerox Schwarz Original Toner (entspricht: OKI 43487712) 6.000 Seiten (006R03317),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-43487712-6000-seiten-p-306558/?cPath=2_3848_5130_5713_5714_17677,,0095205831870,006R03317,52.49,€
Xerox Schwarz Original Toner (entspricht: OKI 43865708) 8000 Seiten (006R03185),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-43865708-8000-seiten-p-306567/?cPath=2_3848_5130_5713_5714_17677,,0095205864403,006R03185,64.49,€
Xerox Schwarz Original Toner (entspricht: OKI 43979102) 3500 Seiten (006R03193),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-43979102-3500-seiten-p-306571/?cPath=2_3848_5130_5713_5714_17677,,0095205864489,006R03193,40.49,€
Xerox Schwarz Original Toner (entspricht: OKI 44059168) 7000 Seiten (006R03350),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-44059168-7000-seiten-p-306569/?cPath=2_3848_5130_5713_5714_17677,,0095205838879,006R03350,35.49,€
Xerox Schwarz Original Toner (entspricht: OKI 44318608) 11.000 Seiten (006R03268),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-44318608-11000-seiten-p-306543/?cPath=2_3848_5130_5713_5714_17677,,0095205827934,006R03268,67.49,€
Xerox Schwarz Original Toner (entspricht: OKI 44917602) 12000 Seiten (006R03173),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-oki-44917602-12000-seiten-p-306541/?cPath=2_3848_5130_5713_5714_17677,,0095205864281,006R03173,86.49,€
Xerox Schwarz Original Toner (entspricht: Panasonic UG-3380) 8000 Seiten (006R03210),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-panasonic-ug-3380-8000-seiten-p-306568/?cPath=2_3848_5130_5713_5714_17677,,0095205865691,006R03210,77.49,€
